id,source,predicted_relevance,predicted_stage,intent,human_agree,text
gplay-deb1f448,Play Store,core,"Document, Receipt & Text (OCR) Inaccuracies",Find document / receipt / proof,YES,Not liking the app so much now after 7 years of no problem usage. seems to have been updated and one of my most used cropping tools has been taken away. the one where you drag to each corner individually and get a nice straight readable document or photo.
gplay-ced98401,Play Store,core,Inability to Refine / Multi-Condition Queries,Find specific visual memory,YES,Nothing more than bloatware designed to spy on you to train Google's worthless AI. It would be 1 star but it does actually sort your photos so at least it doesn't lie about that.
gplay-dabd839f,Play Store,core,Search Query Visual Clutter (Irrelevant Memes & Noise),Find specific screenshot or downloaded image,YES,"currently use it to back up my photos. only thing that would make this better would be if we had the option to schedule backups. currently its either on or off, and of someone who takes random photos or screenshots to send to someone I find these usually end up getting backed up and I have to then delete them from the photos app. if I could set the time for when I'm asleep then by then I would have cleared out the random stuff as I go."
gplay-0534253b,Play Store,core,Ask Photos / Gemini AI Regressions,Find document / receipt / proof,YES,"I cannot backup my photos at all! I have a 2tb subscription and have to keep deleting apps because I have 64gb of memories that won't upload. I have used Gemini (another Google service) to help me go through and problem solve, I have tried two accounts, I have tried removing, reinstalling, changing power and internet settings, clearing cache, and even forgetting the accounts. I am at a loss and I've been unable to find a way to contact support. I'm currently considering other provider's."
gplay-66ae2f15,Google Play,rejected,None (Irrelevant / Storage / Billing),Cloud storage / App performance complaint,YES,bad updates. puts captions on photos and adds music that's wild to it. why ?? the photo is of my brother and I and captions put on it whats for dinner. my brother is passed away almost 5 years now. so
gplay-1a2e951c,Play Store,core,Inability to Refine / Multi-Condition Queries,Find specific visual memory,YES,EASY Crash APP: just try edit 20+ pics. Simple way to crash the app = do simple edit > apply Enhance (or Dynamic) filter > crop size > Save copy > delete original. Rinse & repeat for next 20x pics? APP will hang/crash before get near 20pics of edits/save. UNstable. Also can HEAT up phone and/or drain battery... Needs improvements. (on a Pixel phone)
appstore-13261257474,App Store,core,Album vs. Main Library Disconnection,Locate photos in album / folder,YES,The app keeps crashing: The app keeps crashing when trying to do the photo backups. My albums are gone and the entire app is malfunctioning.
gplay-56e62060,Play Store,core,Ask Photos / Gemini AI Regressions,Find photos from specific time/year,YES,"super cool updates and AI features photos,photos search using AI these are all excellent updates . I loved Google photos."
gplay-a8233032,Play Store,core,Search Retrieval Failure (Zero Results Found),Find specific visual memory,YES,"Used to be good. Too much AI now, basically useless for searching pics."
gplay-6f5a6b4b,Play Store,core,Ask Photos / Gemini AI Regressions,Find specific visual memory,YES,They removed the searchbar to search for images you now have to ask AI. This is a downgrade in every way where before I could type in a word I now need a whole sentence just to ask. This wouldn't matter if I could still use the search bar. I don't mind the AI features being present but taking away the more convenient method is unacceptable. It is also harder to access with the search bar being available from the photos tab. This takes away from my choice as a user and also is less convenient.
gplay-54aaf8fa,Play Store,core,Date & Timeline Desynchronization (Wrong Year/Date),Find photos from specific time/year,YES,worst upadate i can't even access my archive properly
appstore-10801998501,App Store,core,Missing Location & Geotag Failures,Find specific visual memory,YES,"Google photo delete pictures from device: When deleting the photo in google photo, the photo is removed not only in google photo but it is also forcing you to remove from device. This is obvious when you are using mobile where there is no warning and directly delete from all places (even your backup is off). This behaviour is not the same as before where you can always sync the new pictures but delete is done separately in two places (google photo and device). Please fix this problem"
gplay-06851632,Play Store,core,"Document, Receipt & Text (OCR) Inaccuracies",Find document / receipt / proof,YES,"I once would have given this app 5 stars however: The August 2025 update has removed Perspective correction: This tool allowed users to fix skewed angles, straighten artwork, or simulate document scans. It’s now missing from both the Android app and the web version. I'm really disappointed to lose these features. Come on Google, please reinstate them 🙏🏻"
gplay-b150f261,Play Store,core,Ask Photos / Gemini AI Regressions,Ask natural language query via Gemini,YES,the share feature is broken. it will open up messages but not share the photo. this app is getting worse. you only get 5 remixes a day until you hit your limits with Gemini pro subscription. not worth paying for.
gplay-fc615ace,Play Store,core,Offline / Flight Mode Search Inaccessibility,Find specific screenshot or downloaded image,YES,"There is a bug in the Creations Module, I've edited a highlight which is getting processed from yesterday (it's stuck). My wifi and internet connection is stable. I wanted to attach the screenshot but can't see any option for that."
appstore-13005861665,App Store,core,Vague Memory & Natural Language Breakdown,Find specific visual memory,YES,Mooi: Geweldig gedaan leuk
gplay-dd3d8328,Play Store,core,Search Query Visual Clutter (Irrelevant Memes & Noise),Find specific screenshot or downloaded image,YES,you guys have lost a bunch of my pictures and screenshots (they were already backed up on here) 😞😡
gplay-99111825,Play Store,core,"Document, Receipt & Text (OCR) Inaccuracies",Find specific visual memory,YES,"I have had to rewrite complaints since the last one. I complained, it went back to correct, and now it's worse. who is doing this nonsense. just, leave it alone, when it works right. I give up on Google. Never have been an apple fan but probably best, I moved on. Google is becoming mediocrity."
gplay-9856188d,Play Store,core,Date & Timeline Desynchronization (Wrong Year/Date),Find specific screenshot or downloaded image,YES,"I've been using Google Photos for many years. I have it on my phone & , it makes it much easier to download & search for pictures."
gplay-74747304,Google Play,rejected,None (Irrelevant / Storage / Billing),Cloud storage / App performance complaint,YES,If you in life success in life put up in our 💕 or mind honesty power activities or credit 💳 Plus honesty power activities owner success in life okay thanks Zaheer Ahsan Punjab Pakistan today.
gplay-163c43c8,Google Play,rejected,None (Irrelevant / Storage / Billing),Cloud storage / App performance complaint,YES,"the app is stuck on preparing for backup. In other words, the app isn't working. I'm very close to uninstalling this app."
gplay-3ff0d049,Play Store,core,Hidden & Archived Folder Search Blindness,Locate photos in album / folder,NO,locked folder is missing on new version how to find
appstore-10620171702,App Store,core,Vague Memory & Natural Language Breakdown,Find document / receipt / proof,YES,"Film maken weg: De app wordt steeds onoverzichtelijker. De oude functie om een film te maken is verdwenen. Jammer, het was zo goed en simpel. KISS: Keep It Simpel Stupid!"
gplay-011831e4,Play Store,core,Album vs. Main Library Disconnection,Find document / receipt / proof,YES,"most garbage photos app in existence, it's impossible to find anything, the tabs make absolutely no sense, why is it so difficult to filter an album by videos?? also why can't you download photos from Google photos any more? I will NEVER own a Google phone again, I am very easy to please when it comes to phones and Google phones are the worst."
appstore-12935742024,App Store,core,Vague Memory & Natural Language Breakdown,Find specific visual memory,YES,Perdu bcp de photos: Perdu bcp de photos
gplay-c9e59c3f,Google Play,rejected,None (Irrelevant / Storage / Billing),Cloud storage / App performance complaint,YES,It's ridiculous that the use of the Camera app requires this app. I don't need a social media platform and shouldn't have to have one just to edit the photos I take with the camera app. Google just ca
